,"region","sp","family","Kipps","guild","env","iso1","iso2","dist","Dgeo_m$dist","resist_dist$dist","saz_dist$dist","sta_dist$dist","re_sa_dist$dist","re_st_dist$dist","sa_st_dist$dist","sa_re_st_dist$dist","TDIV","resist_resi","saz_resi","sta_resi"
"832","NS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18394_S","N_LGEMA18138_Nm",0.936664438502674,922.165674136264,229.703589679149,84.0943877759736,569.712137875804,209.339213638056,640.591560525728,687.916915712051,707.509532517519,369263,-46.8075541764331,-5.58880101882621,-109.825585591749
"634","NN","lalandi","thro",58.7,"Nectarivorous","understory","N_LGEMA18479_Nm","N_LGEMA17784_Nm",0.01,0.1,4.48987180058274,21.6849501839806,11.1321288687069,5.2339730251848,19.525754475905,16.4004440839888,12.6957320441527,369263,-1.90373708884629,-4.09961750115019,14.5304464394972
"772","NN","lalandi","thro",58.7,"Nectarivorous","understory","N_LGEMA18479_Nm","N_LGEMA18138_Nm",0.066844919786091,0.1,4.48987180058274,21.6849501839806,11.1321288687069,5.2339730251848,19.525754475905,16.4004440839888,12.6957320441527,369263,-1.90373708884629,-4.09961750115019,14.5304464394972
"418","NN","lalandi","thro",58.7,"Nectarivorous","understory","N_LGEMA15780_Nb","N_LGEMA14716_Nb",0.08138368983957,18.0454693899479,30.7655074789884,25.6755359186064,10.6166283821997,27.8622000020866,23.3239563793834,13.5321316616003,22.4585486687517,369263,19.1148045545124,-1.35264247815574,0.723476415067786
"326","NN","lalandi","thro",58.7,"Nectarivorous","understory","N_LGEMA15780_Nb","N_LGEMA15754_Nb",0.074866310160423,18.0454693899479,30.7655074789884,25.6755359186064,10.6166283821997,27.8622000020866,23.3239563793834,13.5321316616003,22.4585486687517,369263,19.1148045545124,-1.35264247815574,0.723476415067786
"1072","NS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA13417_S","N_LGEMA18672_Nm",0.961397058823534,608.051070008848,220.413416846347,66.9639384729018,561.258904400598,199.588274188296,638.119905803464,684.332291095432,701.644690973547,369263,35.9215997521119,-0.951288844584364,114.37292168465
"127","NS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18142_S","N_LGEMA14716_Nb",0.983957219251335,876.391992811673,242.695631993539,85.7021888488099,569.784410169831,221.502555235254,637.85383301638,686.744023868243,710.921822416162,369263,-20.406191558143,-0.808910146101621,-75.8506341454484
"134","NS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18394_S","N_LGEMA14716_Nb",0.959224598930485,876.391992811673,242.695631993539,85.7021888488099,569.784410169831,221.502555235254,637.85383301638,686.744023868243,710.921822416162,369263,-20.406191558143,-0.808910146101621,-75.8506341454484
"403","NS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18142_S","N_LGEMA15754_Nb",0.963402406417112,876.391992811673,242.695631993539,85.7021888488099,569.784410169831,221.502555235254,637.85383301638,686.744023868243,710.921822416162,369263,-20.406191558143,-0.808910146101621,-75.8506341454484
"419","NS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18394_S","N_LGEMA15754_Nb",0.937667112299468,876.391992811673,242.695631993539,85.7021888488099,569.784410169831,221.502555235254,637.85383301638,686.744023868243,710.921822416162,369263,-20.406191558143,-0.808910146101621,-75.8506341454484
